ExpenseBU,ExpenseLine,ExpenseBrand,ExpenseCode,ExpenseSKU,Active,BudgetTotal,ProposedSalesProduct,ProposedSalesBrand,CanonicalBU,CanonicalLine,MappingStatus,MappingReason,Reviewed,ReviewedBy,ReviewNote
CHC,CHC,OMEG,OM369,OMEGA 369 30 CAP,No,700000.00,,,CHC,CHC,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CHC,CHC,LIPOSOMAL D3,ID30,LIPOSOMAL D3 30 TAB,No,320000.00,,,CHC,CHC,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CHC,CHC,LIPOSOMAL D3 + K2 + MG,LDK30,LIPOSOMAL D3 + K2 + MG 30 TAB,No,350000.00,,,CHC,CHC,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CHC,CHC,B-COMPLEX,BC30,B-COMPLEX 30 TAB,No,680000.00,,,CHC,CHC,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CHC,CHC,MACA ROOT,MR60,MACA ROOT 60 CAP,No,560000.00,,,CHC,CHC,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CHC,CHC,DOZOVA TURMERIC,DTU30,DOZOVA TURMERIC 30 CAP,No,900000.00,,,CHC,CHC,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CHC,CHC,DOZOVA Q10 COENZYME,DQ200,DOZOVA Q10 COENZYME 200 MG 30 CAP,Yes,2240000.00,DOZOVA Q10 COENZYME 30 CAP,DOZOVA,CHC,CHC,MATCHED,Approved 2026-08-09: mapped to DOZOVA Q10 COENZYME 30 CAP per business owner confirmation.,YES,Ahmed,Approved 2026-08-09: mapped to DOZOVA Q10 COENZYME 30 CAP per business owner confirmation.
CHC,CHC,DOZOVA MAN MAX,DX1,DOZOVA MAN MAX 30 TAB,Yes,3400000.00,DOZOVA MAN MAX 30 TAB,,CHC,CHC,MATCHED,Exact product-name match,NO,,
CHC,CHC,DOZOVA MAN MAX,DX160,DOZOVA MAN MAX 60 TAB,Yes,0.00,,,CHC,CHC,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CHC,CHC,DOZOVA WOMEN MAX,DW,DOZOVA WOMEN MAX 30 TAB,Yes,3800000.00,DOZOVA WOMEN MAX 30 TAB,,CHC,CHC,MATCHED,Exact product-name match,NO,,
CHC,CHC,DOZOVA WOMEN MAX,DW60,DOZOVA WOMEN MAX 60 TAB,Yes,0.00,,,CHC,CHC,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
CHC,CHC,ZETAGAROUH,ZG254,ZETAGAROUH 2.5 MG 4 SYRING,No,5000000.00,,,CHC,CHC,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
